Date,SKU,Ordered Quantity,Sold Quantity,Cost,Price
3/14/2014,Storage,5,2,7.8,10.68
3/14/2014,Binders,2,2,20.94,31.02
3/15/2014,Storage,3,1,124.93,142.78
3/15/2014,Furnishings,6,3,13.52,15.23
3/15/2014,Binders,4,3,4.25,2.41
3/15/2014,Binders,6,4,18.71,10.8
3/15/2014,Paper,4,3,28.03,43.97
3/16/2014,Phones,5,2,221.21,235.96
3/17/2014,Appliances,4,2,28.6,46.89
3/17/2014,Paper,10,7,3.37,6.74
3/17/2014,Art,7,6,2.33,3.28
3/17/2014,Binders,13,10,2.83,5.34
3/17/2014,Binders,6,6,3.11,5.98
3/17/2014,Tables,7,7,289.62,225.68
3/17/2014,Tables,6,4,406.31,267.89
3/17/2014,Tables,6,3,245.56,204.64
3/17/2014,Paper,9,7,2.64,4.98
3/17/2014,Paper,6,4,19.77,38.76
3/18/2014,Machines,4,4,209.43,205.33
3/18/2014,Machines,9,6,4074.93,3773.08
3/18/2014,Paper,5,4,3.47,5.34
3/18/2014,Art,3,3,2.34,2.67
3/18/2014,Furnishings,3,2,11.35,15.38
3/18/2014,Fasteners,6,3,4.34,6.31
3/18/2014,Furnishings,4,3,35.69,40.78
3/21/2014,Art,2,2,3.1,3.7
3/21/2014,Art,3,3,1.49,2.02
3/22/2014,Binders,6,4,3.38,1.91
3/22/2014,Binders,7,5,18.18,10.29
3/22/2014,Paper,6,3,17.04,24.78
3/22/2014,Chairs,5,3,116.57,104.78
3/22/2014,Art,5,2,4.88,8.14
3/23/2014,Storage,3,2,122.25,165.2
3/23/2014,Phones,6,6,94.49,100.79
3/24/2014,Paper,8,5,2.64,4.98
3/25/2014,Chairs,8,7,43.08,52.4
3/26/2014,Accessories,3,3,19.23,22.1
3/30/2014,Art,7,5,5.76,9.93
3/31/2014,Binders,5,2,210.49,336.78
3/31/2014,Appliances,4,2,19.07,26.49
3/31/2014,Binders,1,1,1.45,0.85
4/1/2014,Labels,2,2,7.4,14.8
4/1/2014,Binders,7,4,2.88,4.27
4/4/2014,Labels,6,6,1.64,3.15
4/4/2014,Furnishings,4,1,3.12,5.47
4/4/2014,Art,4,4,13.89,19.84
4/5/2014,Paper,1,1,28.85,55.48
4/5/2014,Art,10,7,2.2,3.28
4/5/2014,Phones,3,1,20.58,28.99
4/5/2014,Paper,4,2,3.3,6.48
4/5/2014,Art,9,7,2.33,3.28
4/5/2014,Supplies,5,5,816.15,832.81
4/5/2014,Storage,7,4,11.48,12.41
4/5/2014,Storage,5,4,12.05,13.02
4/6/2014,Binders,8,6,13.47,7.49
4/6/2014,Supplies,1,1,12.49,10.3
4/6/2014,Tables,4,3,63.63,51.59
4/6/2014,Accessories,2,2,47.44,58.39
4/7/2014,Furnishings,2,2,3.09,4.48
4/7/2014,Phones,6,5,93.23,125.99
4/7/2014,Paper,4,3,20.9,40.99
4/8/2014,Fasteners,5,2,0.77,1.18
4/8/2014,Paper,5,3,4.04,6.34
4/11/2014,Fasteners,5,3,1.53,2.3
4/11/2014,Accessories,5,3,100.79,127.99
4/11/2014,Paper,3,2,3.37,5.18
4/11/2014,Accessories,8,7,41.99,47.99
4/11/2014,Binders,3,1,6.23,9.58
4/12/2014,Phones,14,14,70.07,76.79
4/12/2014,Phones,6,4,100,109.59
4/12/2014,Binders,10,7,1.65,2.58
4/12/2014,Bookcases,4,3,108.88,102.83
4/13/2014,Art,7,4,4.19,4.46
4/13/2014,Binders,10,10,91.79,51
4/13/2014,Fasteners,14,13,1.61,2.38
4/13/2014,Phones,15,12,5.29,5.99
4/16/2014,Art,7,6,4.88,6.51
4/18/2014,Machines,7,4,47.69,71.99
4/18/2014,Art,4,4,2.33,3.28
4/18/2014,Art,6,5,1.44,2.15
4/18/2014,Fasteners,4,2,4.01,5.81
4/19/2014,Furnishings,4,3,16.5,25.38
4/21/2014,Binders,7,5,2.19,3.3
4/23/2014,Binders,6,3,1.42,0.83
4/23/2014,Chairs,2,2,146.72,140.69
4/23/2014,Chairs,4,2,146.72,140.69
4/23/2014,Binders,10,8,1.59,0.94
4/23/2014,Furnishings,5,4,3.63,5.58
4/25/2014,Paper,5,2,3.37,5.18
4/25/2014,Art,4,3,1.9,2.08
4/25/2014,Phones,5,3,88.19,100.79
4/25/2014,Furnishings,8,5,47.91,60.65
4/25/2014,Appliances,3,3,64.07,90.24
4/25/2014,Chairs,8,5,267.67,297.41
4/26/2014,Chairs,4,3,69.08,76.76
4/26/2014,Binders,7,6,2.1,3.05
4/28/2014,Binders,3,2,5.74,10.43
4/28/2014,Storage,12,9,40.91,55.29
4/28/2014,Art,5,2,1.92,2.67
4/28/2014,Labels,2,1,1.64,3.15
4/28/2014,Labels,4,3,1.47,2.3
4/28/2014,Storage,3,3,8.35,9.03
4/28/2014,Storage,3,2,107.65,88.78
4/29/2014,Furnishings,3,2,5.76,8.73
4/29/2014,Chairs,3,2,19.49,25.98
4/29/2014,Binders,3,3,3.11,5.98
5/3/2014,Labels,10,7,1.6,3.08
5/3/2014,Binders,6,3,8.54,13.39
5/3/2014,Binders,5,3,2.32,3.63
5/4/2014,Binders,6,4,6.44,11.7
5/4/2014,Furnishings,5,2,8.79,13.73
5/5/2014,Paper,4,3,1.73,3.14
5/5/2014,Art,2,2,2.33,3.28
5/5/2014,Paper,2,2,6.51,12.28
5/5/2014,Chairs,6,3,45.67,42.62
5/5/2014,Storage,4,2,20.64,22.62
5/6/2014,Binders,10,8,11,17.59
5/6/2014,Labels,2,2,1.53,2.89
5/6/2014,Art,6,6,12.95,17.99
5/9/2014,Accessories,5,4,15.93,16.95
5/9/2014,Accessories,6,3,42.55,55.99
5/9/2014,Storage,6,3,22.76,27.75
5/9/2014,Labels,3,3,1.64,3.15
5/9/2014,Labels,8,5,2.23,4.13
5/9/2014,Paper,10,7,3.37,6.48
5/11/2014,Accessories,5,2,25.42,29.06
5/11/2014,Phones,2,1,94.49,100.79
5/11/2014,Furnishings,6,4,37.6,16.53
5/11/2014,Accessories,5,2,19.62,23.43
5/11/2014,Appliances,5,3,8.74,11.97
5/12/2014,Furnishings,8,7,3.43,4.97
5/12/2014,Tables,3,3,276.69,233.35
5/13/2014,Storage,2,2,22.76,27.75
5/13/2014,Fasteners,3,2,2.35,3.55
5/13/2014,Binders,10,8,91.29,49.79
5/13/2014,Accessories,3,3,32.49,49.99
5/14/2014,Furnishings,2,2,143.78,155.44
5/17/2014,Binders,6,3,15.28,30.56
5/18/2014,Phones,3,2,474.38,389.9
5/18/2014,Furnishings,3,3,48.5,49.74
5/18/2014,Paper,5,4,2.54,3.98
5/19/2014,Binders,10,9,3.45,6.38
5/20/2014,Appliances,6,4,5.99,8.32
5/20/2014,Art,9,9,2.95,4.28
5/20/2014,Furnishings,9,7,11.39,19.98
5/21/2014,Binders,7,7,205.63,387.99
5/21/2014,Phones,5,3,148.31,205.99
5/21/2014,Art,8,8,2.67,3.98
5/22/2014,Phones,3,2,50.99,67.99
5/22/2014,Phones,1,1,32.36,44.95
5/23/2014,Binders,4,2,2.95,1.64
5/23/2014,Art,11,9,2.09,2.35
5/23/2014,Phones,3,2,32.65,27.59
5/24/2014,Paper,5,3,19.77,38.76
5/25/2014,Appliances,5,2,120.96,37.8
5/25/2014,Furnishings,4,2,26.75,14.66
5/26/2014,Bookcases,2,2,131.65,145.33
5/26/2014,Phones,2,2,90.71,100.79
5/26/2014,Phones,5,2,26.25,41.99
5/26/2014,Chairs,4,2,101.38,112.65
5/26/2014,Paper,6,5,5.03,9.68
5/27/2014,Tables,10,10,59.55,56.71
5/27/2014,Storage,6,4,88.03,89.83
5/27/2014,Phones,12,12,82.35,92.79
5/27/2014,Accessories,2,1,61.99,99.99
5/27/2014,Binders,9,6,8,2.91
5/30/2014,Paper,6,3,2.5,4.54
6/1/2014,Chairs,10,7,203.05,285.98
6/1/2014,Storage,4,2,62.52,83.36
6/1/2014,Paper,7,6,3.99,7.98
6/1/2014,Appliances,7,5,201.44,300.65
6/1/2014,Paper,7,4,3.37,6.48
6/1/2014,Binders,4,3,8.19,15.16
6/1/2014,Art,9,6,34.22,48.2
6/1/2014,Furnishings,6,6,2.18,3.7
6/1/2014,Phones,10,7,93.23,125.99
6/2/2014,Binders,6,3,13.46,19.94
6/2/2014,Furnishings,9,6,8.55,12.22
6/2/2014,Art,2,2,2.95,4.28
6/2/2014,Phones,3,3,57.59,79.99
6/2/2014,Storage,5,2,124.93,178.47
6/3/2014,Tables,7,6,67.06,85.98
6/4/2014,Paper,5,2,5.17,8.11
6/6/2014,Art,5,2,4.21,6.68
6/6/2014,Binders,12,9,11.01,16.62
6/6/2014,Supplies,2,2,6.34,8.57
6/6/2014,Tables,4,3,446.29,330.59
6/7/2014,Binders,3,3,11.01,4.15
6/7/2014,Tables,3,3,159.57,89.65
6/8/2014,Chairs,6,3,170.79,195.18
6/8/2014,Chairs,3,3,53.24,56.78
6/9/2014,Furnishings,8,7,4.96,6.98
6/9/2014,Art,4,4,1.33,1.82
6/9/2014,Phones,8,6,136.07,151.19
6/9/2014,Binders,4,3,4.24,6.17
6/9/2014,Appliances,7,5,16.09,22.98
6/9/2014,Tables,11,9,180.1,189.58
6/9/2014,Phones,4,4,210.77,227.86
6/9/2014,Phones,2,1,7.39,7.99
6/9/2014,Accessories,3,2,26.79,31.99
6/9/2014,Art,2,2,32.11,35.18
6/9/2014,Supplies,5,2,3.61,3.68
6/9/2014,Art,5,2,6.24,11.55
6/9/2014,Tables,7,7,170.9,205.9
6/13/2014,Art,6,3,3.24,4.84
6/15/2014,Tables,5,2,59.24,49.96
6/15/2014,Chairs,4,4,213.74,199.49
6/15/2014,Binders,3,3,7.71,2.86
6/16/2014,Chairs,9,8,76.93,80.98
6/16/2014,Envelopes,8,5,4.39,8.28
6/16/2014,Art,6,4,6.13,8.75
6/16/2014,Binders,6,3,8.4,13.18
6/20/2014,Phones,5,2,90.71,100.79
6/20/2014,Binders,5,4,2.12,0.85
6/20/2014,Bookcases,7,4,53.24,48.27
6/20/2014,Paper,5,3,3.37,5.18
6/20/2014,Paper,4,2,3.79,5.82
6/20/2014,Machines,5,2,258.26,209.4
6/20/2014,Storage,7,7,90.98,72.78
6/21/2014,Furnishings,1,1,89.45,104.01
6/21/2014,Phones,4,1,210.77,284.82
6/21/2014,Storage,3,3,8.84,12.28
6/21/2014,Phones,8,7,137.96,188.99
6/21/2014,Art,2,2,1.33,1.88
6/21/2014,Art,5,5,3.04,4.28
6/21/2014,Binders,9,7,2.75,1.58
6/21/2014,Binders,5,2,20.97,12.58
6/21/2014,Envelopes,5,4,4.12,6.22
6/21/2014,Furnishings,4,1,3.34,3.98
6/21/2014,Accessories,7,4,16.79,23.99
6/21/2014,Machines,6,3,126.49,69
6/21/2014,Appliances,4,2,20.26,22.21
6/21/2014,Binders,4,2,8.11,4.5
6/21/2014,Paper,4,3,3.54,6.55
6/21/2014,Phones,5,3,152.43,205.99
6/21/2014,Appliances,5,3,10.95,19.9
6/22/2014,Accessories,9,6,23.36,32.79
6/22/2014,Storage,4,3,167.27,167.27
6/22/2014,Storage,5,3,50.74,53.98
6/22/2014,Chairs,3,3,58.31,56.69
6/22/2014,Phones,6,3,32.65,27.59
6/22/2014,Chairs,8,5,170.79,170.79
6/23/2014,Accessories,3,3,28.43,28.79
6/23/2014,Art,9,9,2.03,2.22
6/23/2014,Supplies,2,1,2.75,3.1
6/25/2014,Tables,5,5,87.33,89.57
6/27/2014,Storage,8,5,61.24,61.24
6/27/2014,Tables,2,1,63.63,85.98
6/27/2014,Accessories,4,4,42.55,55.99
6/28/2014,Paper,10,8,3.37,5.18
6/28/2014,Binders,3,3,1.87,1.06
6/28/2014,Chairs,7,5,245.69,245.69
6/28/2014,Binders,4,3,17.96,10.36
6/28/2014,Paper,4,4,54.52,83.88
6/28/2014,Fasteners,2,1,3.04,6.08
6/29/2014,Art,10,7,4.15,4.68
6/30/2014,Binders,7,7,32.28,47.82
6/30/2014,Art,6,4,0.9,1.31
6/30/2014,Art,7,5,4.41,6.48
6/30/2014,Paper,6,5,3.37,5.18
6/30/2014,Fasteners,9,6,2.35,3.55
7/1/2014,Binders,7,5,2.59,3.98
7/1/2014,Phones,2,2,251.97,287.96
7/1/2014,Binders,9,6,1.47,0.86
7/2/2014,Phones,4,2,27,36.99
7/2/2014,Art,4,1,3.4,5.58
7/5/2014,Accessories,6,3,105.59,159.99
7/5/2014,Labels,2,2,3.87,7.31
7/5/2014,Paper,4,3,3.37,6.48
7/5/2014,Storage,5,3,88.31,73.59
7/5/2014,Storage,13,11,28.78,25.58
7/5/2014,Binders,7,6,18.85,30.16
7/5/2014,Art,5,3,1.33,1.46
7/6/2014,Copiers,1,1,384.99,559.99
7/7/2014,Chairs,4,2,109.46,86.09
7/7/2014,Furnishings,2,2,28.47,34.5
7/8/2014,Chairs,1,1,53.24,63.88
7/9/2014,Paper,5,2,3.37,5.18
7/9/2014,Paper,6,3,3.29,4.78
7/11/2014,Paper,6,5,18.78,35.44
7/11/2014,Phones,4,3,46.85,65.99
7/11/2014,Chairs,6,3,213.74,284.98
7/11/2014,Furnishings,10,9,8,13.79
7/11/2014,Labels,6,5,1.47,2.88
7/12/2014,Binders,5,2,2.46,3.86
7/12/2014,Tables,6,3,238.6,232.78
7/12/2014,Storage,10,9,22.76,27.75
7/12/2014,Phones,10,8,28.39,31.99
7/12/2014,Chairs,5,4,27.32,30.78
7/12/2014,Binders,7,4,1.87,2.82
7/13/2014,Tables,4,3,115.61,117.07
7/14/2014,Binders,10,7,10.9,4.28
7/14/2014,Phones,6,4,8.61,9.57
7/14/2014,Storage,7,5,9.93,11.18
7/15/2014,Accessories,4,3,0.55,0.99
7/15/2014,Fasteners,3,3,1.29,2.18
7/18/2014,Chairs,7,4,71.26,64.78
7/19/2014,Phones,5,2,133.19,179.99
7/19/2014,Tables,1,1,74.59,70.56
7/19/2014,Binders,4,2,5.64,10.44
7/19/2014,Binders,3,1,1.98,3.81
7/20/2014,Storage,3,3,101.43,114.29
7/20/2014,Furnishings,6,5,6.19,3.35
7/20/2014,Chairs,5,2,560.78,490.69
7/20/2014,Storage,4,1,31.18,25.98
7/20/2014,Binders,6,3,16.42,9.12
7/21/2014,Art,6,5,14.68,19.84
7/21/2014,Chairs,2,2,375.74,400.78
7/21/2014,Tables,1,1,245.56,272.85
7/22/2014,Art,3,2,2.15,2.98
7/22/2014,Accessories,4,2,51.19,79.99
7/23/2014,Binders,7,5,2.77,1.63
7/23/2014,Accessories,8,8,105.59,127.99
7/23/2014,Art,3,1,8.32,9.24
7/23/2014,Accessories,11,10,50.9,47.9
7/25/2014,Storage,5,4,9.67,13.43
7/25/2014,Supplies,6,5,1572.03,1637.53
7/25/2014,Furnishings,11,8,5.45,9.74
7/25/2014,Paper,4,1,3.3,6.48
7/25/2014,Supplies,5,4,2.75,3.88
7/26/2014,Storage,6,3,50.97,41.18
7/26/2014,Phones,5,2,398.99,455.99
7/26/2014,Chairs,6,3,261.31,224.78
7/26/2014,Furnishings,9,9,10.87,14.89
7/26/2014,Accessories,6,3,33.62,56.99
7/27/2014,Accessories,5,2,99.96,119
7/27/2014,Paper,11,11,3.05,5.98
8/1/2014,Labels,6,3,3.87,5.85
8/1/2014,Furnishings,6,4,8,11.03
8/1/2014,Appliances,2,1,52.7,62.92
8/1/2014,Paper,3,2,24.47,39.15
8/1/2014,Binders,6,3,4.28,6.58
8/1/2014,Fasteners,3,2,1.88,2.84
8/3/2014,Tables,4,2,190.31,109.38
8/3/2014,Appliances,2,1,2.31,2.6
8/3/2014,Paper,3,2,10.59,19.98
8/3/2014,Supplies,12,10,7.57,10.23
8/3/2014,Storage,2,2,7.8,10.68
8/3/2014,Paper,5,3,19.77,31.01
8/4/2014,Appliances,6,3,261.54,363.25
8/4/2014,Paper,9,8,28.55,55.98
8/4/2014,Art,8,5,2.43,3.28
8/4/2014,Phones,7,5,72.99,79.99
8/4/2014,Storage,5,5,30.19,31.78
8/4/2014,Binders,3,1,8.4,13.18
8/5/2014,Paper,6,3,3.7,6.98
8/5/2014,Paper,5,2,28.85,55.48
8/5/2014,Chairs,9,7,45.56,48.59
8/6/2014,Accessories,6,3,13.42,20.97
8/8/2014,Appliances,5,2,27.02,38.06
8/8/2014,Copiers,6,3,254.99,399.99
8/8/2014,Phones,5,5,78.04,89.19
8/8/2014,Furnishings,11,8,29.5,40.97
8/8/2014,Furnishings,4,4,31.1,30.34
8/8/2014,Accessories,5,3,35.59,31.99
8/8/2014,Storage,13,11,28.48,38.48
8/9/2014,Phones,2,2,78.04,89.19
8/9/2014,Paper,3,3,3.37,5.18
8/9/2014,Labels,11,8,1.41,2.61
8/9/2014,Phones,4,4,255.74,272.79
8/9/2014,Phones,4,2,131.5,109.58
8/9/2014,Binders,7,7,202.39,294.39
8/11/2014,Furnishings,3,1,6.92,12.35
8/11/2014,Art,2,1,30.32,40.97
8/11/2014,Fasteners,2,2,6.08,11.48
8/11/2014,Storage,1,1,356.57,375.34
8/15/2014,Binders,9,8,10.45,3.87
8/16/2014,Tables,7,6,180.1,142.18
8/17/2014,Paper,5,3,3.37,5.18
8/17/2014,Paper,5,5,12.33,22.84
8/17/2014,Binders,5,4,2.42,4.49
8/17/2014,Fasteners,8,7,1.16,1.81
8/17/2014,Accessories,4,4,54.39,84.99
8/19/2014,Art,3,2,4.49,5.36
8/19/2014,Binders,7,4,33.91,19.19
8/19/2014,Supplies,2,2,4.02,4.59
8/19/2014,Bookcases,10,9,51.82,70.98
8/22/2014,Art,3,1,2.89,3.91
8/23/2014,Paper,7,4,3.37,6.48
8/23/2014,Paper,5,4,5.85,11.48
8/24/2014,Binders,2,2,2.8,4.14
8/24/2014,Furnishings,4,2,3.45,6.64
8/24/2014,Binders,5,3,2.75,4.22
8/25/2014,Fasteners,17,14,1.83,2.86
8/25/2014,Envelopes,3,2,1.53,2.36
8/25/2014,Paper,5,3,5.49,7.99
8/25/2014,Envelopes,6,6,14.41,21.74
8/26/2014,Accessories,8,8,19.23,22.1
8/27/2014,Art,3,2,3.04,4.28
8/27/2014,Phones,4,3,65.82,71.16
8/27/2014,Binders,4,4,3.83,5.68
8/27/2014,Phones,8,5,82.35,115.99
8/27/2014,Furnishings,7,4,4.15,7.28
8/27/2014,Tables,6,3,300.74,400.98
8/29/2014,Paper,4,2,28.03,54.96
8/29/2014,Paper,3,2,3.47,6.68
8/29/2014,Envelopes,4,2,9.5,14.9
8/29/2014,Binders,7,4,210.49,126.29
8/29/2014,Tables,3,3,94.94,58.02
8/31/2014,Accessories,11,9,8.22,10.28
9/1/2014,Art,6,3,12.77,17.98
9/1/2014,Binders,5,3,3.22,1.22
9/1/2014,Paper,8,6,3.37,5.18
9/2/2014,Appliances,4,1,10.95,19.9
9/2/2014,Furnishings,4,1,65.76,70.71
9/2/2014,Art,5,3,4.39,7.08
9/5/2014,Storage,5,2,122.25,132.16
9/7/2014,Storage,3,1,79.36,64.78
9/7/2014,Phones,4,3,9.35,10.79
9/7/2014,Furnishings,4,2,16.95,21.18
9/7/2014,Machines,5,4,239.72,99.89
9/7/2014,Furnishings,4,3,11.35,19.23
9/7/2014,Binders,4,3,7.56,14.27
9/7/2014,Paper,5,2,3.37,6.48
9/7/2014,Furnishings,7,6,101.37,136.98
9/7/2014,Phones,5,3,25.51,34.95
9/7/2014,Phones,6,3,89.45,125.99
9/8/2014,Art,6,3,2.4,3.31
9/8/2014,Machines,10,8,1189.99,1019.99
9/8/2014,Storage,6,3,111.52,91.98
9/8/2014,Chairs,11,9,196.1,193.34
9/8/2014,Art,9,6,4.21,5.34
9/8/2014,Appliances,8,5,126.37,35.6
9/8/2014,Phones,3,3,44.99,47.99
9/8/2014,Accessories,3,2,20.74,24.99
9/8/2014,Binders,4,4,32.63,12.8
9/8/2014,Accessories,4,3,6.7,10.99
9/8/2014,Accessories,6,4,13.42,20.97
9/8/2014,Appliances,5,5,6.46,11.33
9/8/2014,Storage,1,1,10.78,14.97
9/8/2014,Fasteners,4,2,1.03,2.01
9/8/2014,Fasteners,11,9,2.6,5
9/8/2014,Machines,3,3,39.89,69.99
9/8/2014,Appliances,3,2,6.29,8.39
9/9/2014,Labels,8,7,7.4,14.8
9/9/2014,Paper,4,3,28.85,55.48
9/9/2014,Chairs,7,6,95.62,130.98
9/9/2014,Paper,3,2,6.68,13.1
9/9/2014,Storage,8,5,217.44,265.17
9/9/2014,Paper,5,3,3.37,5.18
9/9/2014,Accessories,6,6,11.59,10.78
9/9/2014,Furnishings,6,3,4.15,5.82
9/9/2014,Phones,4,1,167.14,135.52
9/12/2014,Machines,1,1,39.89,69.99
9/12/2014,Paper,4,2,3.37,5.18
9/12/2014,Appliances,7,5,29.61,33.37
9/12/2014,Accessories,4,1,12.93,15.22
9/12/2014,Binders,6,5,2.64,1.04
9/12/2014,Binders,8,7,15.83,9.13
9/13/2014,Binders,9,7,4.44,2.66
9/13/2014,Paper,5,3,3.37,5.18
9/13/2014,Accessories,7,5,39.69,50.4
9/13/2014,Art,3,3,1.33,1.82
9/13/2014,Storage,7,5,14.69,15.88
9/14/2014,Appliances,4,2,91.78,26.22
9/14/2014,Labels,7,4,3.4,5.04
9/14/2014,Storage,5,5,88.03,89.83
9/14/2014,Envelopes,4,3,1.99,3.69
9/14/2014,Appliances,5,5,2.34,2.6
9/14/2014,Furnishings,6,3,3.12,4.38
9/14/2014,Furnishings,8,5,17.94,28.48
9/14/2014,Binders,5,2,1.86,3.58
9/17/2014,Binders,5,4,2.5,1.47
9/17/2014,Accessories,5,2,17.39,23.99
9/17/2014,Paper,1,1,2.95,4.62
9/17/2014,Storage,2,2,14.53,15.14
9/17/2014,Storage,6,3,13.9,19.31
9/17/2014,Furnishings,2,2,10.96,17.67
9/17/2014,Binders,8,5,18.18,27.45
9/17/2014,Envelopes,6,3,32.32,60.98
9/19/2014,Machines,4,3,1189.99,1019.99
9/19/2014,Machines,9,7,395.99,359.99
9/19/2014,Fasteners,5,2,1.79,3.58
9/19/2014,Storage,7,6,9.96,11.22
9/19/2014,Machines,4,3,1189.99,875
9/19/2014,Chairs,8,7,101.38,126.73
9/20/2014,Tables,8,6,170.9,102.95
9/20/2014,Labels,2,2,2.69,4.98
9/20/2014,Paper,7,4,2.77,5.43
9/20/2014,Art,5,2,0.92,1.41
9/20/2014,Appliances,7,4,8.02,10.98
9/20/2014,Binders,3,3,4.55,6.74
9/21/2014,Phones,2,2,109.33,123.19
9/21/2014,Copiers,6,3,365.99,599.99
9/21/2014,Appliances,5,2,9.22,12.98
9/21/2014,Appliances,4,3,8.46,12.09
9/21/2014,Paper,1,1,3.37,6.48
9/21/2014,Envelopes,5,2,4.12,7.78
9/21/2014,Envelopes,6,5,8.31,15.67
9/21/2014,Art,5,3,14.68,19.84
9/21/2014,Paper,11,9,2.35,4.28
9/21/2014,Phones,2,2,107.99,119.99
9/21/2014,Paper,3,3,3.29,6.45
9/21/2014,Paper,6,3,2.41,3.78
9/21/2014,Labels,10,9,1.53,2.31
9/22/2014,Labels,2,2,1.47,2.3
9/23/2014,Bookcases,3,3,138.49,145.33
9/23/2014,Phones,3,2,26.25,41.99
9/23/2014,Binders,6,3,30.79,46.48
9/23/2014,Paper,5,5,3.37,6.48
9/23/2014,Storage,7,5,77.74,80.98
9/23/2014,Binders,6,5,963.89,1889.99
9/23/2014,Binders,5,2,3.24,6.47
9/24/2014,Storage,7,4,50.87,52.99
9/25/2014,Paper,9,8,2.9,4.22
9/25/2014,Bookcases,4,2,198.88,150.27
9/25/2014,Binders,2,2,3.54,1.36
9/25/2014,Envelopes,5,2,1.08,1.63
9/26/2014,Chairs,4,2,72.78,72.78
9/26/2014,Binders,2,1,2.28,0.88
9/26/2014,Appliances,4,3,43.19,47.98
9/26/2014,Storage,2,2,114.74,155.06
9/27/2014,Furnishings,6,3,16.63,29.18
9/27/2014,Chairs,6,5,111.73,120.78
9/27/2014,Paper,3,2,20.9,40.99
9/28/2014,Storage,3,3,11.26,15.42
9/28/2014,Paper,9,8,8.12,12.03
9/28/2014,Paper,5,2,3.47,5.34
9/29/2014,Furnishings,5,2,75.7,102.3
9/29/2014,Fasteners,6,4,1.46,2.18
9/29/2014,Paper,4,1,3.37,6.48
9/29/2014,Machines,5,2,231.63,343.16
9/29/2014,Storage,1,1,45.39,62.18
